ID,Official_Code,Name,Type,Category,State,LGA,Ward,Address,Status,Sources
562,"DP SCIENCE PRIMARY SCHOOL","DOHO PILOT SCIENCE PRIMARY SCHOOL",primary,public,GOMBE,KWAMI,"KWAMI","KWAMI",active,"GSU(#261); FCET_GOMBE(#261)"
563,"EB PRIMARY SCHOOL BOJUDE","ELF BOJUDE PRIMARY SCHOOL BOJUDE",primary,public,GOMBE,KWAMI,"KWAMI","KWAMI",active,"GSU(#271); FCET_GOMBE(#271)"
564,"JG PRIMARY SCHOOL GADAM","JIJI GADAM PRIMARY SCHOOL GADAM",primary,public,GOMBE,KWAMI,"KWAMI","KWAMI",active,"GSU(#270); FCET_GOMBE(#270)"
565,"JP SCHOOL KWAMI","JURARA PRIMARY SCHOOL KWAMI",primary,public,GOMBE,KWAMI,"KWAMI","KWAMI",active,"GSU(#263); FCET_GOMBE(#263)"
566,"KS PRIMARY SCHOOL 00L KWAMI","KWAMI SCIENCE PRIMARY SCHOOL 00L KWAMI",primary,public,GOMBE,KWAMI,"KWAMI","KWAMI",active,"GSU(#273); FCET_GOMBE(#273)"
567,"PSCPS 00L BOJUDE","PILOT SCIENCE PRIMARY SCHOOL 00L BOJUDE",primary,public,GOMBE,KWAMI,"KWAMI","KWAMI",inactive,"GSU(#276)"
568,"PSCPS BOJUDE","PILOT SCIENCE PRIMARY SCHOOL BOJUDE",primary,public,GOMBE,KWAMI,"KWAMI","KWAMI",active,"FCET_GOMBE(#276)"
569,"TPS SCHOOL 3","TAPPI PRIMARY SCHOOL",primary,public,GOMBE,KWAMI,"KWAMI","KWAMI",active,"GSU(#269); FCET_GOMBE(#269)"
570,"GCJSS KOMFULATA","GOVERNMENT COMPREHENSIVE JUNIOR SECONDARY SCHOOL KOMFULATA",junior,public,GOMBE,KWAMI,"KOMFULATA","Komfulata",active,"FUK(#373); GSU(#373); FCET_GOMBE(#373)"
571,"GDJSS WALIN KWAMI","GOVERNMENT DAY JUNIOR SECONDARY SCHOOL WALIN KWAMI",junior,public,GOMBE,KWAMI,"KWAMI","NEAR OVERHEAD TANK",active,"FUK(#566)"
572,"GJSS DABAN FULANI","GOVERNMENT JUNIOR SECONDARY SCHOOL DABAN FULANI",junior,public,GOMBE,KWAMI,"KWAMI","KWAMI",active,"FUK(#264); GSU(#264); FCET_GOMBE(#264)"
573,"GJSS DIRRI","GOVERNMENT JUNIOR SECONDARY SCHOOL DIRRI",junior,public,GOMBE,KWAMI,"KWAMI","KWAMI",active,"FUK(#262); GSU(#262); FCET_GOMBE(#262)"
574,"GJSS DOHO","GOVERNMENT JUNIOR SECONDARY SCHOOL DOHO",junior,public,GOMBE,KWAMI,"KWAMI","KWAMI",active,"FUK(#258); GSU(#258); FCET_GOMBE(#258)"
575,"GJSS DUKUL","GOVERNMENT JUNIOR SECONDARY SCHOOL DUKUL",junior,public,GOMBE,KWAMI,"KWAMI","KWAMI",active,"FUK(#260); GSU(#260); FCET_GOMBE(#260)"
576,"GJSS ELF BOJUDE","GOVERNMENT JUNIOR SECONDARY SCHOOL ELF BOJUDE",junior,public,GOMBE,KWAMI,"KWAMI","KWAMI",active,"FUK(#272); GSU(#272); FCET_GOMBE(#272)"
577,"GJSS GADAM","GOVERNMENT JUNIOR SECONDARY SCHOOL GADAM",junior,public,GOMBE,KWAMI,"KWAMI","KWAMI",active,"FUK(#268); GSU(#268); FCET_GOMBE(#268)"
578,"GJSS IDI BOJUDE","GOVERNMENT JUNIOR SECONDARY SCHOOL IDI BOJUDE",junior,public,GOMBE,KWAMI,"BOJUDE","Near Cottage Hospital, Bojude",active,"FUK(#346); GSU(#346); FCET_GOMBE(#346)"
579,"GJSS KWAMI","GOVERNMENT JUNIOR SECONDARY SCHOOL KWAMI",junior,public,GOMBE,KWAMI,"KWAMI","KWAMI",active,"FUK(#274); GSU(#274); FCET_GOMBE(#274)"
580,"GJSS MALAM SIDI","GOVERNMENT JUNIOR SECONDARY SCHOOL MALAM SIDI",junior,public,GOMBE,KWAMI,"KWAMI","KWAMI",active,"FUK(#257); GSU(#257); FCET_GOMBE(#257)"
581,"GJSS MALLERI","GOVERNMENT JUNIOR SECONDARY SCHOOL MALLERI",junior,public,GOMBE,KWAMI,"KWAMI","KWAMI",active,"FUK(#259); GSU(#259); FCET_GOMBE(#259)"
582,"GJSS SHONGO SARKIN YAKI","GOVERNMENT JUNIOR SECONDARY SCHOOL SHONGO SARKIN YAKI",junior,public,GOMBE,KWAMI,"KWAMI","KWAMI",active,"FUK(#255); GSU(#255); FCET_GOMBE(#255)"
583,"GJSS TAPPI","GOVERNMENT JUNIOR SECONDARY SCHOOL TAPPI",junior,public,GOMBE,KWAMI,"KWAMI","KWAMI",active,"FUK(#265); GSU(#265); FCET_GOMBE(#265)"
584,"GJSS TITI KWAMI","GOVERNMENT JUNIOR SECONDARY SCHOOL TITI KWAMI",junior,public,GOMBE,KWAMI,"KWAMI","KWAMI",active,"FUK(#256); GSU(#256); FCET_GOMBE(#256)"
585,"GJSS WALIN KWAMI","GOVERNMENT JUNIOR SECONDARY SCHOOL WALIN KWAMI",junior,public,GOMBE,KWAMI,"KWAMI","KWAMI ALONG KOMFULATA ROAD",active,"FCET_GOMBE(#418)"
586,"GVTC KWAMI","GOVERNMENT VOCATIONAL TRAINING CENTER KWAMI",junior,public,GOMBE,KWAMI,"KWAMI","Kwami, Kwami LGA",active,"FUK(#397); GSU(#397)"
587,"KG V. T. C","KWAMI G. V. T. C",junior,public,GOMBE,KWAMI,"KWAMI","Kwami, Kwami LGA",active,"FCET_GOMBE(#397)"
588,"CDSS DOHO","COMMUNITY DAY SECONDARY SCHOOL DOHO",senior,public,GOMBE,KWAMI,"DOHO","DOHO",active,"FUK(#463); GSU(#463)"
589,"GCDSS BULA","GOVERNMENT COMPREHENSIVE DAY SECONDARY SCHOOL BULA",senior,public,GOMBE,KWAMI,"ABUJA BULA","ABUJA BULA",active,"FUK(#617)"
590,"GCDSS BULA BARDE","GOVERNMENT COMPREHENSIVE DAY SECONDARY SCHOOL BULA BARDE",senior,public,GOMBE,KWAMI,"KWAMI","KWAMI",active,"FUK(#267); GSU(#267); FCET_GOMBE(#267)"
591,"GCSS BULA","GOVERNMENT COMPREHENSIVE SECONDARY SCHOOL BULA",senior,public,GOMBE,KWAMI,"ABUJA BULA","BULA",active,"FUK(#597)"
592,"GDSS BOJUDE","GOVERNMENT DAY SECONDARY SCHOOL BOJUDE",senior,public,GOMBE,KWAMI,"BOJUDE","GOVERNMENT DAY SECONDARY SCHOOL BOJUDE",active,"FUK(#444); GSU(#444)"
