ID,Official_Code,Name,Type,Category,State,LGA,Ward,Address,Status,Sources
1,"CP LAFIYA LAMURDE","CENTRAL PRIMARY LAFIYA LAMURDE",primary,public,ADAMAWA,LAMURDE,"LAMURDE","LAMURDE",active,"GSU(#325); FCET_GOMBE(#325)"
2,"KP SCHOOL LAFIYA LAMURDE","KUPTE PRIMARY SCHOOL LAFIYA LAMURDE",primary,public,ADAMAWA,LAMURDE,"LAMURDE","LAMURDE",active,"GSU(#329); FCET_GOMBE(#329)"
3,"MP SCHOOL LAFIYA LAMURDE","MAMSIRME PRIMARY SCHOOL LAFIYA LAMURDE",primary,public,ADAMAWA,LAMURDE,"LAMURDE","LAMURDE",active,"GSU(#327); FCET_GOMBE(#327)"
4,"GDJSS GYAWANA LAMURDE","GOVERNMENT DAY JUNIOR SECONDARY SCHOOL GYAWANA LAMURDE",junior,public,ADAMAWA,LAMURDE,"GYAWANA","GYAWANA",active,"FUK(#353); GSU(#353); FCET_GOMBE(#353)"
5,"GDSS GYAWANA","GOVERNMENT DAY SECONDARY SCHOOL GYAWANA",senior,public,ADAMAWA,LAMURDE,"LAMURDE","LAMURDE",active,"FUK(#324); GSU(#324); FCET_GOMBE(#324)"
6,"GDSS LAFIYA LAMURDE","GOVERNMENT DAY SECONDARY SCHOOL LAFIYA LAMURDE",senior,public,ADAMAWA,LAMURDE,"LAMURDE","LAMURDE",active,"FUK(#326); GSU(#326); FCET_GOMBE(#326)"
7,"GDSS MAMSIRME LAFIYA","GOVERNMENT DAY SECONDARY SCHOOL MAMSIRME LAFIYA",senior,public,ADAMAWA,LAMURDE,"LAMURDE","LAMURDE",active,"FUK(#323); GSU(#323); FCET_GOMBE(#323)"
8,"NP SCHOOL NUMAN","NGBALAN PRIMARY SCHOOL NUMAN",primary,public,ADAMAWA,NUMAN,"NUMAN","",active,"GSU(#360); FCET_GOMBE(#360)"
9,"GSS NUMAN","GOVERNMENT SECONDARY SCHOOL NUMAN",senior,public,ADAMAWA,NUMAN,"NUMAN","NUMAN",active,"FUK(#328); GSU(#328); FCET_GOMBE(#328)"
10,"CJSS ALKALERI","CENTRAL JUNIOR SECONDARY SCHOOL ALKALERI",junior,public,BAUCHI,ALKALERI,"ALKALERI","ALKALERI",active,"FUK(#333); GSU(#333); FCET_GOMBE(#333)"
11,"GJSS GAJIN DUGURI","GOVERNMENT JUNIOR SECONDARY SCHOOL GAJIN DUGURI",junior,public,BAUCHI,ALKALERI,"GAJIN DUGURI","YANKARI ROAD",active,"FUK(#405); GSU(#405); FCET_GOMBE(#405)"
12,"GJSS BAYARA BAUCHI","GOVERNMENT JUNIOR SECONDARY SCHOOL BAYARA BAUCHI",junior,public,BAUCHI,BAUCHI,"BAUCHI","BAUCHI",active,"FUK(#332); GSU(#332); FCET_GOMBE(#332)"
13,"GJSS DANGIKKA, BAUCHI","GOVERNMENT JUNIOR SECONDARY SCHOOL DANGIKKA, BAUCHI",junior,public,BAUCHI,BAUCHI,"BAUCHI","UP BAKA ROAD BAUCHI",active,"FCET_GOMBE(#422)"
14,"GJSS GWALLAMEJI BAUCHI","GOVERNMENT JUNIOR SECONDARY SCHOOL GWALLAMEJI BAUCHI",junior,public,BAUCHI,BAUCHI,"GWALLAMEJI, BAUCHI","Gwallameji, Near Fed. Polytechnic, Bauchi",active,"FUK(#345); GSU(#345); FCET_GOMBE(#345)"
15,"GJSS YELWAN MAKARANTA BAUCHI","GOVERNMENT JUNIOR SECONDARY SCHOOL YELWAN MAKARANTA BAUCHI",junior,public,BAUCHI,BAUCHI,"BAUCHI","BAUCHI",active,"FUK(#331); GSU(#331); FCET_GOMBE(#331)"
16,"GH USMAN KATSINA UNITY COLLEGE BAUCHI","GENERAL HASSAN USMAN KATSINA UNITY COLLEGE BAUCHI",senior,public,BAUCHI,BAUCHI,"BAUCHI","BAUCHI",active,"FUK(#340); GSU(#340); FCET_GOMBE(#340)"
17,"PCS YELWA BAUCHI","POLICE CHILDREN SCHOOL YELWA BAUCHI",senior,public,BAUCHI,BAUCHI,"BAUCHI","BAUCHI",active,"FUK(#330); GSU(#330); FCET_GOMBE(#330)"
18,"YP SCHOOL BAUCHI","YELWA PRACTISING SCHOOL BAUCHI",senior,public,BAUCHI,BAUCHI,"BAUCHI","BAUCHI",active,"FUK(#339); GSU(#339); FCET_GOMBE(#339)"
19,"IA PRIMARY SCHOOL DASS","ILIYA ADAMU PRIMARY SCHOOL DASS",primary,public,BAUCHI,DASS,"DASS","DASS",active,"GSU(#337); FCET_GOMBE(#337)"
20,"GJSS GYAMA DASS","GOVERNMENT JUNIOR SECONDARY SCHOOL GYAMA DASS",junior,public,BAUCHI,DASS,"DASS","DASS",active,"FUK(#334); GSU(#334); FCET_GOMBE(#334)"
21,"IA JUNIOR SECONDARY SCHOOL DASS","ILIYA ADAMU JUNIOR SECONDARY SCHOOL DASS",junior,public,BAUCHI,DASS,"DASS","DASS",active,"FUK(#336); GSU(#336); FCET_GOMBE(#336)"
22,"GSSS DASS","GOVERNMENT SCIENCE SECONDARY SCHOOL DASS",senior,public,BAUCHI,DASS,"DASS","DASS",active,"FUK(#335); GSU(#335); FCET_GOMBE(#335)"
23,"GJSS BARA","GOVERNMENT JUNIOR SECONDARY SCHOOL BARA",junior,public,BAUCHI,KIRFI,"KIRFI","KIRFI",active,"FUK(#341); GSU(#341); FCET_GOMBE(#341)"
24,"GDTC TAFAWA BALEWA","GOVERNMENT DAY TECHNICAL COLLEGE TAFAWA BALEWA",senior,public,BAUCHI,TAFAWA BALEWA,"TAFAWA BALEWA","TAFAWA BALEWA",active,"FUK(#338); GSU(#338); FCET_GOMBE(#338)"
25,"GDJSS JAURO GARGA","GOVERNMENT DAY JUNIOR SECONDARY SCHOOL JAURO GARGA",junior,public,BORNO,BAYO,"BAYO","BAYO",active,"FUK(#343); GSU(#343); FCET_GOMBE(#343)"
26,"GSS BRIYEL BAYO","GOVERNMENT SECONDARY SCHOOL BRIYEL BAYO",senior,public,BORNO,BAYO,"BAYO","BAYO",active,"FUK(#342); GSU(#342); FCET_GOMBE(#342)"
27,"JDSS JAFI KWAYA KUSAR","JUNIOR DAY SECONDARY SCHOOL JAFI KWAYA KUSAR",junior,public,BORNO,KWAYA KUSAR,"KWAYA KUSAR","KWAYA KUSAR",active,"FUK(#344); GSU(#344); FCET_GOMBE(#344)"
28,"GJSS YOLDE BALANGA LOCAL GOVT","GOVERNMENT JUNIOR SECONDARY SCHOOL YOLDE BALANGA LOCAL GOVT",junior,public,GOMBE,,"YOLDE","ALONG NUMAN ROAD",active,"FCET_GOMBE(#414)"
29,"AP PRIMARY","AKKO PRIMARY",primary,public,GOMBE,AKKO,"AKKO","Akko, Akko LGA",inactive,"GSU(#368); FCET_GOMBE(#368)"
30,"AM PRIMARY SCHOOL KUMO","AKKOYEL MODEL PRIMARY SCHOOL KUMO",primary,public,GOMBE,AKKO,"AKKO","AKKO",active,"GSU(#108); FCET_GOMBE(#108)"
31,"AF FOUNDATION ACADEMY","ALHERI FIRM FOUNDATION ACADEMY",primary,private,GOMBE,AKKO,"KUMO","KUMO",inactive,"GSU(#420)"
32,"AP SCHOOL OF JIBWIS TUMBURU YUGUDA KASHERE","ASAS PRIMARY SCHOOL OF JIBWIS TUMBURU YUGUDA KASHERE",primary,private,GOMBE,AKKO,"KASHERE","TUMBURU YUGUDA, KASHERE",active,"FUK(#626)"
33,"B( PASS) PRIMARY SCHOOL","BOMALA (BYE PASS) PRIMARY SCHOOL",primary,public,GOMBE,AKKO,"BOMALA, GOMBE","BOMALA BYE PASS, AKKO LGA",inactive,"GSU(#370); FCET_GOMBE(#370)"
34,"BPS SCHOOL","BULA PRIMARY SCHOOL",primary,public,GOMBE,AKKO,"AKKO","AKKO",active,"GSU(#104); FCET_GOMBE(#104)"
35,"CPS KASHERE","CENTRAL PRIMARY SCHOOL KASHERE",primary,public,GOMBE,AKKO,"AKKO","AKKO",active,"GSU(#118); FCET_GOMBE(#118)"
36,"CPS KUMO","CENTRAL PRIMARY SCHOOL KUMO",primary,public,GOMBE,AKKO,"AKKO","AKKO",active,"GSU(#114); FCET_GOMBE(#114)"
37,"CPS TUMU","CENTRAL PRIMARY SCHOOL TUMU",primary,public,GOMBE,AKKO,"AKKO","AKKO",inactive,"GSU(#119); FCET_GOMBE(#119)"
38,"FU STAFF SCHOOL KASHERE","FEDERAL UNIVERSITY STAFF SCHOOL KASHERE",primary,public,GOMBE,AKKO,"KASHERE","FEDERAL UNIVERSITY KASHERE",active,"FUK(#550)"
39,"GL PRIMARY SCHOOL KUMO","GARIN LIMAN PRIMARY SCHOOL KUMO",primary,public,GOMBE,AKKO,"AKKO","AKKO",active,"GSU(#101); FCET_GOMBE(#101)"
40,"GS PRIMARY SCHOOL KUMO","GARIN SARKI PRIMARY SCHOOL KUMO",primary,public,GOMBE,AKKO,"AKKO","AKKO",active,"GSU(#111); FCET_GOMBE(#111)"
41,"GPS SCHOOL","GWARAM PRIMARY SCHOOL",primary,public,GOMBE,AKKO,"AKKO","AKKO",active,"GSU(#126); FCET_GOMBE(#126)"
42,"HT NURSARY AND PRIMARY SCHOOL KASHERE","HOLY TRINITY NURSARY AND PRIMARY SCHOOL KASHERE",primary,public,GOMBE,AKKO,"KASHERE","ALONG BILLIRI ROAD AFTER BRIDGE",active,"FUK(#592)"
43,"JS JUNIOR SECONDARY SCHOOL KUMO","JAUROJI SCIENCE JUNIOR SECONDARY SCHOOL KUMO",primary,public,GOMBE,AKKO,"AKKO","AKKO",inactive,"GSU(#105)"
44,"JS PRIMARY SCHOOL KUMO","JAUROJI SCIENCE PRIMARY SCHOOL KUMO",primary,public,GOMBE,AKKO,"AKKO","AKKO",active,"FCET_GOMBE(#105)"
45,"KN AND PRIMARY SCHOOL","KUNDULUM NURSERY AND PRIMARY SCHOOL",primary,public,GOMBE,AKKO,"KUNDULUM","KUNDULUM, AKKO LGA",active,"GSU(#398); FCET_GOMBE(#398)"
46,"LPS SCHOOL","LAWANTI PRIMARY SCHOOL",primary,public,GOMBE,AKKO,"AKKO","AKKO",active,"GSU(#103); FCET_GOMBE(#103)"
47,"SI PRIMARY SCHOOL","SHONGO IDRISA PRIMARY SCHOOL",primary,public,GOMBE,AKKO,"AKKO","AKKO",active,"GSU(#128); FCET_GOMBE(#128)"
48,"TPS SCHOOL","TABRA PRIMARY SCHOOL",primary,public,GOMBE,AKKO,"AKKO","AKKO",active,"GSU(#116); FCET_GOMBE(#116)"
49,"WB PRIMARY SCHOOL","WURO BIRIJI PRIMARY SCHOOL",primary,public,GOMBE,AKKO,"AKKO","AKKO",active,"GSU(#122); FCET_GOMBE(#122)"
50,"AAP PINDIGA","AL-HIDAYA ACADEMY PINDIGA",junior,private,GOMBE,AKKO,"PINDIGA","NERA CROSS PONDIGA",active,"FUK(#572)"
51,"AR RANKS ACADEMY (ARRA) NTA, SHONG IDRISA AKKO","AMMA ROYA RANKS ACADEMY (ARRA) NTA, SHONG IDRISA AKKO",junior,private,GOMBE,AKKO,"SHONGO IDRISA","NTA",active,"FUK(#552)"
52,"AM SCHOOL, GOMBE","ANISA MODEL SCHOOL, GOMBE",junior,public,GOMBE,AKKO,"GOMBE","RAINBOW ROUND ABOUT BEFORE NNPC DEPOT OPPOSITE TUMFURE FARM",active,"GSU(#552)"
53,"AS ZUBAIRU BN AWWAM, T-JUNCTION, LAYING YAN YASHI, BYEPAS","AQSAT SCHOOL ZUBAIRU BN AWWAM, T-JUNCTION, LAYING YAN YASHI, BYEPAS",junior,private,GOMBE,AKKO,"GOMBE","LAYING YAN YASHI BYEPAS, BEHIND ALIRE FILLING STATION BYEPAS, GOMBE",active,"GSU(#541)"
54,"AZ BN AWWAM, RIYAL QTRS","AQSAT ZUBAIRU BN AWWAM, RIYAL QTRS",junior,private,GOMBE,AKKO,"GOMBE","ADAMU PA STREET, RIYAL QTRS GOMBE",active,"GSU(#538)"
55,"AZ BN AWWAM, WURO SHIE","AQSAT ZUBAIRU BN AWWAM, WURO SHIE",junior,private,GOMBE,AKKO,"GOMBE","WURO SHIE ALONG GANDUJE ROAD, WURO BIRIJI GOMBE",active,"GSU(#539)"
56,"BG JUNIOR SECONDARY SCHOOL MALAM INNA","BETO GOVERNMENT JUNIOR SECONDARY SCHOOL MALAM INNA",junior,public,GOMBE,AKKO,"BETO, HANYAN KURBA","HANYAN KURBA, GOMBE",active,"FCET_GOMBE(#379)"
57,"CAT TUMFURE","CHARIS ACADEMY TUMFURE",junior,private,GOMBE,AKKO,"TUMFURE","LAYIN MADI HOSPITAL TUMFURE",active,"FUK(#537)"
58,"CK ACADEMY KASHERE","COURAGEOUS KIDS ACADEMY KASHERE",junior,private,GOMBE,AKKO,"KASHERE","KASHERE",active,"FUK(#561)"
59,"FU OF KASHERE K STAFF SCHOOL","FEDERAL UNIVERSITY OF KASHERE K STAFF SCHOOL",junior,public,GOMBE,AKKO,"KASHERE","FUK CAMPUS",active,"FUK(#563)"
60,"GT TUMBURU","G.J.S.S TUMBURU",junior,public,GOMBE,AKKO,"KASHERE","OPPOSITE GATE THREE FUK",active,"FUK(#530)"
61,"GJ SECONDARY SCHOOL KEMBU, KUMO","GOERNMENT JUNIOR SECONDARY SCHOOL KEMBU, KUMO",junior,public,GOMBE,AKKO,"KEMBU","NEAR POLICE STATION KEMBU",active,"FUK(#586)"
62,"GCDJSS TABRA","GOVERNMENT COMPREHENSIVE DAY JUNIOR SECONDARY SCHOOL TABRA",junior,public,GOMBE,AKKO,"AKKO","AKKO",active,"FUK(#117); GSU(#117); FCET_GOMBE(#117)"
63,"GCJSS AMADA","GOVERNMENT COMPREHENSIVE JUNIOR SECONDARY SCHOOL AMADA",junior,public,GOMBE,AKKO,"AKKO","AKKO",active,"FUK(#102); GSU(#102); FCET_GOMBE(#102)"
64,"GJSS AKKO","GOVERNMENT JUNIOR SECONDARY SCHOOL AKKO",junior,public,GOMBE,AKKO,"AKKO","ALONGAIRPORT ROAD GOMBE",active,"FUK(#562)"
65,"GJSS AKKOYEL KUMO","GOVERNMENT JUNIOR SECONDARY SCHOOL AKKOYEL KUMO",junior,public,GOMBE,AKKO,"KUMO","Kumo, Akko LGA",active,"FUK(#385); GSU(#385); FCET_GOMBE(#385)"
66,"GJSS BULA","GOVERNMENT JUNIOR SECONDARY SCHOOL BULA",junior,public,GOMBE,AKKO,"BULA, AKKO LGA","BULA BARDE, AKKO LGA",active,"FUK(#395); GSU(#395); FCET_GOMBE(#395)"
67,"GJSS BULA KYARI","GOVERNMENT JUNIOR SECONDARY SCHOOL BULA KYARI",junior,public,GOMBE,AKKO,"BULA","Bula",active,"FUK(#391); GSU(#391); FCET_GOMBE(#391)"
68,"GJSS GADAWO","GOVERNMENT JUNIOR SECONDARY SCHOOL GADAWO",junior,public,GOMBE,AKKO,"AKKO","AKKO",active,"FUK(#115); GSU(#115); FCET_GOMBE(#115)"
69,"GJSS GARIN ALKALI PINDIGA","GOVERNMENT JUNIOR SECONDARY SCHOOL GARIN ALKALI PINDIGA",junior,public,GOMBE,AKKO,"AKKO","AKKO",active,"FUK(#121); GSU(#121); FCET_GOMBE(#121)"
70,"GJSS GARIN LIMAN KUMO","GOVERNMENT JUNIOR SECONDARY SCHOOL GARIN LIMAN KUMO",junior,public,GOMBE,AKKO,"AKKO","AKKO",active,"FUK(#100); GSU(#100); FCET_GOMBE(#100)"
71,"GJSS GARIN SARKI KUMO","GOVERNMENT JUNIOR SECONDARY SCHOOL GARIN SARKI KUMO",junior,public,GOMBE,AKKO,"AKKO","AKKO",active,"FUK(#110); GSU(#110); FCET_GOMBE(#110)"
72,"GJSS GWARAM","GOVERNMENT JUNIOR SECONDARY SCHOOL GWARAM",junior,public,GOMBE,AKKO,"AKKO","AKKO",active,"FUK(#125); GSU(#125); FCET_GOMBE(#125)"
73,"GJSS JAUROJI","GOVERNMENT JUNIOR SECONDARY SCHOOL JAUROJI",junior,public,GOMBE,AKKO,"KUMO","KUMO",active,"FUK(#605)"
74,"GJSS KALTANGA","GOVERNMENT JUNIOR SECONDARY SCHOOL KALTANGA",junior,public,GOMBE,AKKO,"KALTANGA","OPPOSIT ECWA CHURCH KALTANGA",active,"FUK(#581)"
75,"GJSS KASHERE","GOVERNMENT JUNIOR SECONDARY SCHOOL KASHERE",junior,public,GOMBE,AKKO,"AKKO","AKKO",active,"FUK(#112); GSU(#112); FCET_GOMBE(#112)"
76,"GJSS KESU FARIN BONGO","GOVERNMENT JUNIOR SECONDARY SCHOOL KESU FARIN BONGO",junior,public,GOMBE,AKKO,"KASHERE","FARIN BONGO",active,"FUK(#534)"
77,"GJSS KUMO CENTRAL","GOVERNMENT JUNIOR SECONDARY SCHOOL KUMO CENTRAL",junior,public,GOMBE,AKKO,"AKKO","AKKO",active,"FUK(#113); GSU(#113); FCET_GOMBE(#113)"
78,"GJSS KUNDULUM","GOVERNMENT JUNIOR SECONDARY SCHOOL KUNDULUM",junior,public,GOMBE,AKKO,"AKKO","AKKO",active,"FUK(#124); GSU(#124); FCET_GOMBE(#124)"
79,"GJSS LAWANTI","GOVERNMENT JUNIOR SECONDARY SCHOOL LAWANTI",junior,public,GOMBE,AKKO,"LAWANTI","Lawanti",active,"FUK(#390); GSU(#390); FCET_GOMBE(#390)"
80,"GJSS MALAM INNA","GOVERNMENT JUNIOR SECONDARY SCHOOL MALAM INNA",junior,public,GOMBE,AKKO,"BETO, HANYAN KURBA","HANYAN KURBA, GOMBE",active,"FUK(#379); GSU(#379)"
81,"GJSS PINDIGA","GOVERNMENT JUNIOR SECONDARY SCHOOL PINDIGA",junior,public,GOMBE,AKKO,"AKKO","AKKO",active,"FUK(#127); GSU(#127); FCET_GOMBE(#127)"
82,"GJSS TUKULMA BETO","GOVERNMENT JUNIOR SECONDARY SCHOOL TUKULMA BETO",junior,public,GOMBE,AKKO,"GOMBE","MALAM INNA, ALONG KURBA ROAD, GOMBE",inactive,"GSU(#551)"
83,"GJSS TULKULMA AKKO","GOVERNMENT JUNIOR SECONDARY SCHOOL TULKULMA AKKO",junior,public,GOMBE,AKKO,"TUKUMA","TUKULMA",active,"FUK(#404); FCET_GOMBE(#404)"
84,"GJSS TULKULMA BETO","GOVERNMENT JUNIOR SECONDARY SCHOOL TULKULMA BETO",junior,public,GOMBE,AKKO,"TUKUMA","TUKULMA",active,"GSU(#404)"
85,"GJSS WURO BIRIJI","GOVERNMENT JUNIOR SECONDARY SCHOOL WURO BIRIJI",junior,public,GOMBE,AKKO,"AKKO","AKKO",active,"FUK(#123); GSU(#123); FCET_GOMBE(#123)"
86,"GVTC KASHERE","GOVERNMENT VOCATIONAL TRAINING CENTER KASHERE",junior,public,GOMBE,AKKO,"KASHERE","KASHERE",active,"FUK(#580)"
87,"IA ACADEMY KUMO","IBRAHIM AHMAD ACADEMY KUMO",junior,private,GOMBE,AKKO,"KUMO","KUMO TOWN",active,"FCET_GOMBE(#413)"
88,"KIS SCHOOL","KISKI INTERNATIONAL SCHOOL",junior,private,GOMBE,AKKO,"GOMBE","Off Third Transformer, Near Ali Bollywood's Residence, Bagadaza, Gombe.",active,"FUK(#383); GSU(#383); FCET_GOMBE(#383)"
89,"LP CHILDREN INITIATIVE PRIMARY SCHOOL KUMO","LAMIDO PUTUK CHILDREN INITIATIVE PRIMARY SCHOOL KUMO",junior,private,GOMBE,AKKO,"KUMO","Kumo",active,"FUK(#352); GSU(#352); FCET_GOMBE(#352)"
90,"MAK KASHERE","MANARA ACADEMY KASHERE",junior,private,GOMBE,AKKO,"KASHERE","OPPSIT FILLI STATION, KASHERE",active,"FUK(#567)"
91,"NA ACADEMY TUNFURE","NANA AINABA ACADEMY TUNFURE",junior,private,GOMBE,AKKO,"GOMBE","TUNFURE",active,"FUK(#417); GSU(#417)"
92,"NA JUNIOR SECONDARY SCHOOL KASHERE","NANA AISHA JUNIOR SECONDARY SCHOOL KASHERE",junior,public,GOMBE,AKKO,"KASHERE","KASHERE",active,"FUK(#539)"
93,"PA MAHDI ACADEMY ARAWA 'B'","PROFESSOR ABDULLAHI MAHDI ACADEMY ARAWA 'B'",junior,private,GOMBE,AKKO,"GOMBE","ARAWA B.",active,"FUK(#411); GSU(#411); FCET_GOMBE(#411)"
94,"AF FOUNDATION ACADEMY KUMO","ALHERI FIRM FOUNDATION ACADEMY KUMO",senior,private,GOMBE,AKKO,"KUMO","KUMO",active,"FUK(#569)"
95,"AS ZUBAIRU BN AWWAM, DUBAI QTRS, GOMBE","AQSAT SCHOOL ZUBAIRU BN AWWAM, DUBAI QTRS, GOMBE",senior,private,GOMBE,AKKO,"GOMBE","DUBAI QTRS, OPPOSITE TIMBER MARKET, BYEPAS GOMBE",active,"GSU(#542)"
96,"AZ BN AWWAM, ABACHA QTRS","AQSAT ZUBAIRU BN AWWAM, ABACHA QTRS",senior,private,GOMBE,AKKO,"GOMBE","ABACHA QTRS, OPPOSITE UMMODA FILLING STATION, BYEPAS, GOMBE",active,"GSU(#540)"
97,"CK ACADEMY KASHERE 2","COURAGIOUS KIDS ACADEMY KASHERE",senior,private,GOMBE,AKKO,"KASHERE","CLOSE TO GRAIN MARKET KASHERE",active,"FUK(#536)"
98,"DS AND TECHNOLOGY ACADEMY (DOSTA)","DONPIDI SCIENCE AND TECHNOLOGY ACADEMY (DOSTA)",senior,private,GOMBE,AKKO,"KASHERE","TUDUN WADA ALONG BILLIRI JUNCTION KASHERE",active,"FUK(#533)"
99,"EAM MAITAMA","EMERELD ACADEMY MAITAMA",senior,private,GOMBE,AKKO,"TUMFURE GASHAR","OPPOSIT HIGH COURT COMPLEX  BYE PASS GOMMBE",active,"FUK(#570)"
100,"ECT TUMFURE","EVANGEL COLLEGE TUMFURE",senior,private,GOMBE,AKKO,"TUMFURE","NEAR WATER RESERVOIUR TUMFURE",active,"FUK(#604)"
101,"GK KUMO","G.G.S.S. KUMO",senior,public,GOMBE,AKKO,"KUMO","ALONG KUMO-GOMBE ROAD",active,"FUK(#577)"
102,"GI SCHOOL ACADEMY","GALAXY INTERNATIONAL SCHOOL ACADEMY",senior,private,GOMBE,AKKO,"GOMBE","BEHIND GDSS WURO BIRIJI GOMBE",active,"GSU(#543)"
103,"GM HIGH SCHOOL GOMBE","GOMBE MILLENIUM HIGH SCHOOL GOMBE",senior,public,GOMBE,AKKO,"GOMBE","BEHING MINISTRY OF EDUCATION GOMBE",active,"FUK(#599)"
104,"GH ACADEMY TUMFURE","GOSHEN HERITAGE ACADEMY TUMFURE",senior,private,GOMBE,AKKO,"TUMFURE","AFTER ECWA GOSPEL GALILEE TUMFURE",active,"FUK(#620)"
105,"GCDSS , BULA KIYARI","GOVERNMENT COMPREHENSIVE DAY SECONDARY SCHOOL , BULA KIYARI",senior,public,GOMBE,AKKO,"BULA KIYARI","SABON FEGI BULA KIYARI",active,"GSU(#532)"
106,"GCDSS AMADA","GOVERNMENT COMPREHENSIVE DAY SECONDARY SCHOOL AMADA",senior,public,GOMBE,AKKO,"AKKO","AMADA, AKKO",active,"FUK(#484); GSU(#484)"
107,"GCDSS KASHERE","GOVERNMENT COMPREHENSIVE DAY SECONDARY SCHOOL KASHERE",senior,public,GOMBE,AKKO,"KASHERE","ALONG BILLIRI ROAD",active,"FUK(#538)"
108,"GDSS AKKOYEL, KUMO","GOVERNMENT DAY SECONDARY SCHOOL AKKOYEL, KUMO",senior,public,GOMBE,AKKO,"KUMO","AKKOYEL",active,"FUK(#494); GSU(#494)"
109,"GDSS COMPREHENSIVE","GOVERNMENT DAY SECONDARY SCHOOL COMPREHENSIVE",senior,public,GOMBE,AKKO,"AKKO","AMADA,",active,"FUK(#453); GSU(#453)"
110,"GDSS KASHERE","GOVERNMENT DAY SECONDARY SCHOOL KASHERE",senior,public,GOMBE,AKKO,"KASHERE","KASHERE, AKKO",active,"FUK(#486); GSU(#486)"
111,"GDSS NEW LIJI","GOVERNMENT DAY SECONDARY SCHOOL NEW LIJI",senior,public,GOMBE,AKKO,"LIJ","LIJI",active,"FUK(#496); GSU(#496)"
112,"GDSS SHONGO IDRISA","GOVERNMENT DAY SECONDARY SCHOOL SHONGO IDRISA",senior,public,GOMBE,AKKO,"AKKO","AKKO",active,"FUK(#129); GSU(#129); FCET_GOMBE(#129)"
113,"GDSS TUMU","GOVERNMENT DAY SECONDARY SCHOOL TUMU",senior,public,GOMBE,AKKO,"AKKO","AKKO",active,"FUK(#120); GSU(#120); FCET_GOMBE(#120)"
114,"GDSS WURO BIRIJI, GOMBE","GOVERNMENT DAY SECONDARY SCHOOL WURO BIRIJI, GOMBE",senior,public,GOMBE,AKKO,"GOMBE","WURO BIRIJI GOMBE",active,"FUK(#524); GSU(#524)"
115,"GDSSS , BOGO","GOVERNMENT DAY SENIOR SECONDARY SCHOOL, BOGO",senior,public,GOMBE,AKKO,"GOMBE","AKKO LGA, BOGO",active,"GSU(#536)"
116,"GGSSS KUMO","GOVERNMENT GIRLS SCIENCE SECONDARY SCHOOL KUMO",senior,public,GOMBE,AKKO,"KUMO","KUMO, ALONG YOLA ROAD",active,"FUK(#615)"
117,"GC SECONDARY SCHOOL AKKO AMADA","GOVRNMENT COMPREHENSIVE SECONDARY SCHOOL AKKO AMADA",senior,public,GOMBE,AKKO,"AKKO AMADA","OPPOSITE NYSC ORIENTATION CAMP",active,"FUK(#532)"
118,"IS INTERNATIONAL SCHOOL KUMO","I.C.I.P. STANDARD INTERNATIONAL SCHOOL KUMO",senior,private,GOMBE,AKKO,"KUMO","TASHAN MAGARYA,  KUMO",active,"FUK(#622)"
119,"IS SECONDARY SCHOOL KUMO","ISLAMIC SCIENCE SECONDARY SCHOOL KUMO",senior,private,GOMBE,AKKO,"AKKO","AKKO",active,"FUK(#107); GSU(#107)"
120,"JI SCIENCE SECONDARY SCHOOL KASHERE","JIBWIS ISLAMIC SCIENCE SECONDARY SCHOOL KASHERE",senior,private,GOMBE,AKKO,"KASHERE","OPPOSIT GATE FOUR",active,"FUK(#531)"
121,"JI SCIENCE SECONDARY SCHOOL SHONGO IDRISA","JIBWIS ISLAMIC SCIENCE SECONDARY SCHOOL SHONGO IDRISA",senior,private,GOMBE,AKKO,"SHONGO IDRISA","SHONGO IDRISA",active,"FUK(#609)"
122,"JI SCIENCE SECONDARY SCHOOL, KUMO","JIBWIS ISLAMIC SCIENCE SECONDARY SCHOOL, KUMO",senior,private,GOMBE,AKKO,"KUMO","BULA MARKET, KEMBU ROAD, KUMO",active,"GSU(#533)"
123,"JI SECONDARY SCHOOL KUMO","JIBWIS ISLAMIC SECONDARY SCHOOL KUMO",senior,private,GOMBE,AKKO,"AKKO","AKKO",active,"FCET_GOMBE(#107)"
124,"KS ACADEMY JAMA'ARE QUARTERS KASHERE","KASHERE SCIENCE ACADEMY JAMA'ARE QUARTERS KASHERE",senior,private,GOMBE,AKKO,"KASHERE","KASHERE",active,"FUK(#540)"
125,"KK HIGH SCHOOL YALWAN BOGO","KINGDOM KIDS HIGH SCHOOL YALWAN BOGO",senior,public,GOMBE,AKKO,"YALWAN BOGO","YALWAN BOGO BCGA",active,"FUK(#584)"
126,"MC OF THOUGHT KUMO","MADIX COLEGE OF THOUGHT KUMO",senior,public,GOMBE,AKKO,"AKKO","AKKO",active,"FUK(#106); GSU(#106); FCET_GOMBE(#106)"
127,"MH SECONDARY SCHOOL KASHERE","MISBA HUSSUNAEY SECONDARY SCHOOL KASHERE",senior,public,GOMBE,AKKO,"KASHERE","KASHERE",active,"FUK(#560)"
128,"MS COMPREHENSIVE SECONDARY SCHOOL KASHERE","MISBAHUS SUNNAH COMPREHENSIVE SECONDARY SCHOOL KASHERE",senior,public,GOMBE,AKKO,"KASHERE","KASHERE",active,"FUK(#535)"
